CID,CRPName,Party,DistIDRunFor,FECCandID
N00042198,"Bacon, Kevin",R,OH12,H8OH12222
N00041559,"Baer, Dan",D,CO07,H8CO07086
N00041785,"Baer, Lauren",D,FL18,H8FL18028
N00041741,"Bailey, Bill",D,TNS1,S8TN00329
N00041954,"Baird, Jim",R,IN04,H8IN04199
N00042057,"Baker, Scott Allen 1972",R,AZ08,H8AZ08166
N00042098,"Balaguer, Ariadna",R,FL27,H8FL27169
N00040763,"Balat, David",R,TX02,H8TX07082
N00042194,"Balderson, Troy",R,OH12,H8OH12180
N00004367,"Baldwin, Tammy",D,WIS1,S2WI00219
N00041761,"Ball, Dan",R,CA36,H8CA36162
N00042122,"Ballock, Thomas",I,IN04,H8IN04207
N00041854,"Balter, Dana",D,NY24,H8NY24090
N00041457,"Banks, James Paul",R,NY27,H8NY27119
N00037185,"Banks, Jim",R,IN03,H6IN03229
N00041754,"Barash, Yona",R,CA07,H8CA07072
N00033200,"Barkley, Mike",D,CA10,H2CA00096
N00025495,"Barletta, Lou",R,PAS2,S8PA00320
N00041534,"Barnes, Levy Jr",D,TX14,H8TX14138
N00042201,"Barnett, Charles Rand",D,OR03,H8OR03060
N00042352,"Barnheiser, Robert",R,MNS2,S8MN00560
N00040969,"Barone, Roger",R,TX03,H8TX03081
N00031233,"Barr, Andy",R,KY06,H0KY06104
N00041989,"Barr, Robert",D,OH01,H8OH01100
N00037019,"Barragan, Nanette",D,CA44,H6CA44103
N00006236,"Barrasso, John A",R,WYS1,S6WY00068
N00041091,"Barreiro, Bruno",R,FL27,H8FL27037
N00038828,"Barrera, Roy",D,TX27,H6TX27092
N00041556,"Barrett, Michael",I,AR04,H8AR04114
N00041371,"Bartlett, John",D,NJ11,H8NJ11167
N00037454,"Bartley, Lori",R,TX18,H6TX18141
N00005656,"Barton, Joe",R,TX06,H4TX06117
N00041042,"Bartos, Jeff",R,PAS2,S8PA00262
N00041494,"Barzee Flores, Mary",D,FL27,H8FL27086
N00042476,"Bass, Bill",D,NY24,H8NY24116
N00031877,"Bass, Karen",D,CA37,H0CA33117
N00040664,"Bassilian, Ron",R,CA37,H8CA37293
N00040849,"Bateson, Regina",D,CA04,H8CA04194
N00041779,"Batie, Rontel",D,FL05,H8FL05132
N00042258,"Batiste, Donald",D,TX18,H8TX18170
N00040854,"Battista, Lisa",D,CA10,H8CA10134
N00038659,"Baugh, Scott",R,CA48,H6CA48245
N00041717,"Baxter, Ralph",D,WV01,H8WV01067
N00041190,"Beal, Brent",D,TX01,H8TX01044
N00041164,"Beals, Jeff",D,NY19,H8NY19215
N00042144,"Bear, Henry John",3,ME02,H8ME02227
N00033904,"Beatty, Joyce",D,OH03,H2OH03125
N00040873,"Beauregard, Pierre",D,CA50,H8CA50114
N00040899,"Beck, Tobi",D,IN04,H8IN04124
N00038849,"Bedell, Eileen",D,VA07,H6VA07148
N00040851,"Bedolla, Mateo Morelos",D,CA10,H8CA10100
N00042463,"Belanger, Brian D",R,NH02,H8NH02291
N00038795,"Bell, Adam",D,TX03,H8TX03156
N00041197,"Bell, Adrienne",D,TX14,H8TX14120
N00037241,"Bell, James Jerome",I,OH11,H8OH11281
N00000871,"Bell, Jeff",R,NJS1,S8NJ00012
N00041735,"Belle, Anita",3,MIS2,S8MI00380
N00041414,"Belote, Dave",D,VA02,H8VA02053
N00041129,"Benac, David",D,MI06,H8MI06130
N00041953,"Bender, Tyler",3,IN03,H8IN03084
N00040701,"Bennett, Douglas",R,IL10,H8IL10115
N00041709,"Bennett, Jim",3,UT03,H8UT03360
N00033625,"Bentivolio, Kerry",R,MI11,H2MI11133
N00042072,"Bentley, Robert",R,CA36,H8CA36196
N00041113,"Bequette, David",D,IL12,H8IL12103
N00030717,"Bera, Ami",D,CA07,H0CA03078
N00041272,"Beretta, James",R,ALS1,S8AL00431
N00039533,"Bergman, John",R,MI01,H6MI01226
N00032405,"Bergmann, Charlotte",R,TN09,H8TN09114
N00041207,"Bershad, Ira",D,TX26,H8TX26074
N00042231,"Bethel, Lander",D,TX04,H8TX04170
N00042252,"Betts, William",R,TX11,H8TX11126
N00031559,"Beutler, Jaime Herrera",R,WA03,H0WA03187
N00042127,"Bevens, Matthew",R,KS02,H8KS02207
N00041301,"Beyer, Augie",I,AZ08,H8AZ08075
N00036018,"Beyer, Don",D,VA08,H4VA08224
N00040822,"Bhuiyan, Mohammad Ali",R,GA06,H0GA06143
N00042042,"Bible, Carl",I,TXS2,S8TX00335
N00042150,"Bieda, Steve",D,MI09,H8MI09126
N00041881,"Biggan, John",D,TX24,H8TX24111
N00041892,"Biggins, Julia",D,VA10,H8VA10163
N00039293,"Biggs, Andy",R,AZ05,H6AZ05083
N00042147,"Bignell, Mark",D,MI04,H8MI04093
N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
N00041179,"Billie, Joe",R,PA07,H8PA07135
N00042291,"Billups, Willie",R,TX33,H8TX33021
N00041209,"Birkenstock, Veronica",R,TX26,H8TX26090
N00041918,"Bishop, Bob",D,AZS2,S8AZ00171
N00042445,"Bishop, Dave",L,MD04,H8MD04221
N00036449,"Bishop, Mike",R,MI08,H4MI08135
N00025292,"Bishop, Rob",R,UT01,H2UT01094
N00041917,"Bishop, Ron",L,ALS1,S8AL00480
N00002674,"Bishop, Sanford",D,GA02,H2GA02031
N00042452,"Bizon, Kimberly",D,MI10,H8MI10108
N00041469,"Bjorkman, Tim",D,SD01,H8SD01097
N00042488,"Black, Gwendolyn",D,OK05,H8OK05133
N00041126,"Black, Thereasa",D,MD04,H8MD04213
N00003105,"Blackburn, Marsha",R,TNS1,S8TN00337
N00042374,"Blackmon, Anthony",R,AL04,H8AL04102
N00042527,"Blanco, Jaimy Z",R,TX29,H8TX29136
N00042462,"Blankenbeker, Lynne",R,NH02,H8NH02283
N00042370,"Blankenship, Don",R,WVS1,S8WV00150
N00042158,"Blankenship, Seth",R,NC10,H8NC10105
N00039665,"Bledsoe, Bill",R,SC05,H8SC05133
N00041307,"Bliatout, Bobby",D,CA22,H8CA22154
N00041592,"Bloom, Stephen",R,PA11,H8PA11061
N00033744,"Blum, Rod",R,IA01,H2IA01055
N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
N00026756,"Bly, Ray",R,MD07,H8MD07042
N00042007,"Boatner, John",D,TN08,H8TN08108
N00041442,"Bohren, Jensen",D,MSS2,S8MS00220
N00040678,"Bolena, Donald",R,GA06,H8GA06229
N00040728,"Bolhafner, Susan",D,MO01,H8MO01135
N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
N00041818,"Bond, Tiffany",I,ME02,H8ME02219
N00042453,"Bonds, Kristine",R,MI11,H8MI11353
N00041516,"Bonham, Paul",R,NC12,H8NC12101
N00035577,"Bonner, Jay",R,FL20,H4FL20064
N00041440,"Booker, Tykiem",D,DES1,S8DE00111
N00041985,"Boone, Tanya",D,NY21,H8NY21302
N00024866,"Bordallo, Madeleine Z",D,GU00,H2GU00033
N00042018,"Borrelli, Tamborine",I,WA10,H8WA10029
N00035420,"Bost, Mike",R,IL12,H4IL12060
N00041791,"Bourdeaux, Carolyn",D,GA07,H8GA07201
N00041321,"Bourdeaux, Carolyn",D,DC00,H8DC07015
N00041673,"Bourgeois, Jenna Marie",D,MO04,H8MO04089
N00035465,"Bowden, Craig",L,UTS1,S8UT00127
N00041204,"Bowers, Harry",R,TX22,H8TX22214
N00041589,"Boyajian, Don",D,NY21,H8NY21286
N00040809,"Boyce, Henry Charles  ""Chuck""  Jr",R,DES1,S8DE00103
N00031440,"Boyd, Will",D,ALS1,S8AL00407
N00035307,"Boyle, Brendan",D,PA13,H4PA13199
N00041819,"Brady, Dwight",D,MI01,H8MI01164
N00005883,"Brady, Kevin",R,TX08,H6TX08100
N00001619,"Brady, Robert A",D,PA01,H8PA01153
N00041037,"Brakey, Eric",R,MES1,S8ME00130
N00036013,"Brat, Dave",R,VA07,H4VA07143
N00041731,"Braun, Mike",R,INS1,S8IN00171
N00041658,"Braun, Steve",R,IN04,H8IN04165
N00041436,"Breault, Joseph",R,ALS1,S8AL00449
N00042361,"Bredesen, Philip",D,TNS1,S8TN00386
N00042347,"Brennan, Christopher",D,CAS2,S8CA00424
N00041515,"Brian, Lee",R,NC04,H8NC04082
N00041093,"Bridges, Adam Wayne",D,GA01,H8GA01048
N00041655,"Briel, Amy Murri",D,IL16,H8IL16146
N00042376,"Brill, David",D,AZ04,H8AZ04140
N00041385,"Brindisi, Anthony",D,NY22,H8NY22151
N00041024,"Brinson, Randy",R,ALS1,S8AL00316
N00040623,"Brisee, Steven",D,NY19,H8NY19165
N00041919,"Brittain, Craig",R,AZS2,S8AZ00189
N00041994,"Brock, Rueben",D,PA18,H8PA00023
N00041344,"Brolley, Matt",D,IL14,H8IL14166
N00042148,"Brook, Martin",D,MI09,H8MI09100
N00038640,"Brookins, Howard Jr",D,IL01,H6IL01167
N00030910,"Brooks, Mo",R,AL05,H0AL05163
N00033495,"Brooks, Susan",R,IN05,H2IN05082
N00042574,"Brown, Alvin",D,FL05,H8FL05140
N00036999,"Brown, Anthony",D,MD04,H6MD04209
N00041238,"Brown, Christine",D,WA04,H8WA04089
N00041368,"Brown, David Wilson",D,NC10,H8NC10097
N00041681,"Brown, Lindsay",R,NJ07,H8NJ07207
N00041715,"Brown, Lisa",D,WA05,H8WA05193
N00037254,"Brown, Paul",R,TX32,H6TX32043
N00039713,"Brown, Shaun",D,VA02,H8VA02061
N00003535,"Brown, Sherrod",D,OHS1,S6OH00163
N00042273,"Brown, Steve",D,TX22,H8TX22263
N00041629,"Brown, Yolanda",D,CA08,H8CA08104
N00042211,"Browning, Dean",R,PA15,H8PA15260
N00041848,"Browning, Kate",D,NY01,H8NY01197
N00034254,"Brownley, Julia",D,CA26,H2CA00120
N00040710,"Bruce, George",R,KS04,H8KS04096
N00033315,"Brueggemann, Dale",R,TX15,H8TX15051
N00042507,"Brunner, Earl",R,TX05,H8TX05169
N00042280,"Bruun, Bech",R,TX27,H8TX27072
N00038791,"Bryan, Pat",D,TX02,H6TX02160
N00041425,"Bryce, Randy",D,WI01,H8WI01123
N00040880,"Buchan, Sean",R,FL09,H8FL09118
N00042184,"Buchanan, Jarred",R,NY18,H8NY18266
N00027626,"Buchanan, Vernon",R,FL16,H6FL13148
N00030092,"Buchman, Joe",L,UT03,H8UT03352
N00042576,"Buck, George",R,FL13,H8FL13136
N00030829,"Buck, Kenneth R",R,CO04,H4CO04090
N00031227,"Bucshon, Larry",R,IN08,H0IN08114
N00039551,"Budd, Ted",R,NC13,H6NC13129
N00042401,"Bulger, Jason",I,FL04,H8FL04077
N00041850,"Bunkeddeko, Adem",D,NY09,H8NY09158
N00041987,"Bunny, Sean",D,NY27,H8NY27135
N00041192,"Burch, Lorie",D,TX03,H8TX03099
N00041594,"Burchett, Tim",R,TN02,H8TN02119
N00042189,"Burgess, James E",R,OH03,H8OH03106
N00025219,"Burgess, Michael",R,TX26,H2TX26093
N00041886,"Burkett, Mary",R,UT02,H8UT02248
N00041408,"Burkhart, Eric",R,TX21,H8TX21208
N00041858,"Burnette, Eric",D,OR02,H8OR02153
N00041633,"Burum, Jeffrey",R,CA26,H8CA26122
N00042553,"Busby, Gerald Lee",I,ALS1,S7AL00011
N00041116,"Bush, Aaron Michael",D,IN02,H8IN02144
N00039373,"Bush, Cori",D,MO01,H8MO01143
N00033390,"Bustos, Cheri",D,IL17,H2IL17071
N00040764,"Butler, Joshua A",D,TX07,H8TX07090
N00040872,"Butner, Josh",D,CA50,H8CA50106
N00027035,"Butterfield, G K",D,NC01,H4NC01046
N00042192,"Butts, Pamela Pinkney",D,OH11,H8OH11299
N00035380,"Byrne, Bradley",R,AL01,H4AL01123
N00040647,"Cabildo, Maria",D,CA34,H8CA34183
N00034726,"Cadien, Tawana",D,TX10,H8TX10151
N00038607,"Caforio, Bryan",D,CA25,H6CA25177
N00041054,"Cain, Butler",D,AL05,H8AL05174
N00040178,"Caiozzo, Salvatore",R,RI02,H6RI02284
N00041067,"Calderon, Roza",D,CA04,H8CA04202
N00041814,"Caldwell, Kevin",L,MD06,H8MD06192
N00041271,"Caldwell, Vann",D,ALS1,S8AL00423
N00041528,"Callahan, Mark",R,OR05,H8OR05198
N00007099,"Calvert, Ken",R,CA42,H2CA37023
N00041829,"Cambers, Kress",R,MO05,H8MO05128
N00041346,"Cameron, Craig",R,IL17,H8IL17045
N00040871,"Campa-Najjar, Ammar",D,CA50,H8CA50098
N00042108,"Campagna, Sheryl",D,HI02,H8HI02133
N00042233,"Campbell, Danny",R,TX05,H8TX05102
N00041138,"Campbell, Doug",I,MT01,H8MT00093
N00041619,"Campbell, Japheth",L,MOS2,S8MO00152
N00041738,"Campbell, Tom",R,NDS2,S8ND00104
N00041311,"Camper, Candance",R,CA43,H8CA43127
N00042304,"Campos, Allen",D,WI07,H8WI07070
N00040611,"Campoverdi, Alejandra",D,CA34,H8CA34126
N00041880,"Canales, Judy",D,TX23,H8TX23154
N00038436,"Cano, Christian",D,NC09,H6NC09184
N00041347,"Canon, Dan",D,IN09,H8IN09081
N00038633,"Canova, Tim",D,FL23,H6FL23063
N00026722,"Canseco, Francisco",R,TX20,H4TX28046
N00041405,"Cantu, James",R,TX08,H8TX08098
N00007836,"Cantwell, Maria",D,WAS1,S8WA00194
N00000267,"Capuano, Michael E",D,MA07,H8MA08071
N00037015,"Carbajal, Salud",D,CA24,H6CA24303
N00042571,"Cardenas, Beatrice",R,CA27,H8CA27120
N00033373,"Cardenas, Tony",D,CA29,H2CA28113
N00001955,"Cardin, Ben",D,MDS1,S6MD03177
N00034135,"Cargas, James",D,TX07,H2TX07036
N00039427,"Carlton, Todd",D,TX08,H6TX08191
N00040612,"Carmona, Arturo",D,CA34,H8CA34134
N00040944,"Carp, Evan",R,OH14,H8OH14129
N00042350,"Carpenter, Crystal",I,HIS2,S8HI00178
N00036120,"Carpenter, Douglas",D,IN02,H4IN02150
N00012508,"Carper, Tom",D,DES1,S8DE00079
N00004098,"Carr, Bob",R,MIS2,S4MI00298
N00041693,"Carrigan, Sean",D,SC02,H8SC02106
N00041703,"Carrillo, John Rene",D,TX16,H8TX16117
N00040598,"Carrillo, Wendy",D,CA34,H8CA34118
N00042070,"Carroll, Brian",I,CA22,H8CA22162
N00007498,"Carroll, Jerry Leon",I,CAS2,S2CA00591
N00029513,"Carson, Andre",D,IN07,H8IN07184
N00042451,"Carter, Anthony",D,MD07,H8MD07109
N00035346,"Carter, Buddy",R,GA01,H4GA01039
N00025095,"Carter, John",R,TX31,H2TX31044
N00034128,"Cartwright, Matt",D,PA17,H2PA17079
N00041315,"Casara, Daniel",R,CA50,H8CA50130
N00040977,"Casas, Mason",D,TX11,H8TX11092
N00027503,"Casey, Bob",D,PAS2,S6PA00217
N00038807,"Casey, Keith",R,TX14,H6TX14132
N00025817,"Casey, Thomas",D,NY27,H2NY27088
N00041074,"Castaneda, Julio",I,CA39,H8CA39141
N00041338,"Casten, Sean",D,IL06,H8IL06139
N00027514,"Castor, Kathy",D,FL14,H6FL11126
N00033316,"Castro, Joaquin",D,TX20,H2TX35011
N00040639,"Cavanaugh, Kevin",R,AZ01,H8AZ01211
N00041999,"Cerilli, Gina",D,PA18,H8PA18207
N00003689,"Chabot, Steve",R,OH01,H8OH01043
N00040668,"Chadwick, Gloria",D,CA50,H8CA50080
N00042153,"Chamberlin, Christopher",R,MN05,H8MN05197
N00042136,"Chandler, Alexandra",D,MA03,H8MA03163
N00042214,"Chastain, Chris",D,SC04,H8SC04219
N00041661,"Chatlos, Rob",D,IN09,H8IN09115
N00042495,"Chauncey, Shelly",D,PA07,H8PA07168
N00041519,"Chavez, Annie",D,NM01,H8NM01414
N00042257,"Chavez, Norma",D,TX16,H8TX16141
N00042394,"Chavez, Rocky",R,CA49,H8CA49124
N00036918,"Chavez, Rocky",R,CA49,S6CA00626
N00041070,"Cheader, Robert Neil",I,CA20,H8CA20083
N00041339,"Cheney, Carole",D,IL06,H8IL06147
N00035504,"Cheney, Liz",R,WY01,H6WY00159
N00042156,"Chery, Jacques",D,MO06,H8MO06100
N00041836,"Chesser, Allen",R,NC02,H8NC02102
N00042106,"Chin, Doug",D,HI01,H8HI01200
N00042099,"Chirino, Angie",R,FL27,H8FL27177
N00041182,"Chrin, John",R,PA17,H8PA17050
N00041229,"Christensen, Jason",3,UT03,H8UT03311
N00041043,"Christiana, Jim",R,PAS2,S8PA00270
N00042433,"Christie, Jennifer",D,IN05,H8IN05196
N00030600,"Chu, Judy",D,CA27,H0CA32101
N00032019,"Cicilline, David",D,RI01,H0RI01073
N00040168,"Cimbrelo, Bill",I,MA09,H6MA09172
N00041464,"Cisneros, Gil",D,CA39,H8CA39174
N00041111,"Clark, Anthony",D,IL07,H8IL07103
N00035278,"Clark, Katherine",D,MA05,H4MA05084
N00038836,"Clark, Mike",D,TX31,H6TX31045
N00026961,"Clarke, Yvette D",D,NY09,H4NY11138
N00042175,"Clarkson, Gavin",R,NM02,H8NM02222
N00041689,"Clasby, James Brian",I,NY23,H8NY23191
N00040879,"Clay, Nathan",3,CO07,H8CO07052
N00012460,"Clay, William L Jr",D,MO01,H0MO01066
N00026790,"Cleaver, Emanuel",D,MO05,H4MO05234
N00040911,"Cleaves, Phil",D,ME02,H8ME02136
N00041381,"Clegg, Dave",D,NY19,H8NY19231
N00035238,"Clements, Paul",D,MI06,H4MI06105
N00042436,"Clemmons, Christopher",L,KS03,H8KS03130
N00036373,"Cleveland, Hosea",D,SC03,H4SC03111
N00042079,"Clifford, David",R,CA47,H8CA47060
N00042296,"Cline, Ben",R,VA06,H8VA06104
N00041882,"Cloud, Michael",R,TX27,H8TX27049
N00002408,"Clyburn, James E",D,SC06,H2SC02042
N00040717,"Cobb, Alan Earl",R,KS04,H8KS04161
N00041382,"Cobb, Tedra",D,NY21,H8NY21245
N00042168,"Cobert, Mitchell",D,NJ11,H8NJ11191
N00041460,"Cockburn, Leslie",D,VA05,H8VA05155
N00041147,"Coffay, Matt",D,NC11,H8NC11095
N00041639,"Coffman, Bob",D,FL06,H8FL06106
N00024753,"Coffman, Mike",R,CO06,H8CO06138
N00042484,"Cohen, Lawrence",R,OH12,H8OH12255
N00038408,"Cohen, Ron",R,CA17,H6CA17141
N00003225,"Cohen, Steve",D,TN09,H6TN09068
N00038717,"Coker, Adam",D,NC13,H6NC02130
N00040602,"Cole, Darren",D,NY16,H8NY16088
N00041526,"Cole, Erin",D,NY27,H8NY27127
N00025726,"Cole, Tom",R,OK04,H2OK04055
N00040745,"Coleman, Andy",R,OK01,H8OK01124
N00036158,"Coleman, Bonnie",D,NJ12,H4NJ12149
N00041976,"Coleman, Linda",D,NC02,H8NC02110
N00041867,"Collica, Chip",D,PA15,H8PA15203
N00001285,"Collins, Chris",R,NY27,H8NY29032
N00033518,"Collins, Doug",R,GA09,H2GA09150
N00040694,"Collins, Kellie",D,GA10,H8GA10130
N00040702,"Colombo, Nathan",D,IL12,H8IL12087
N00041812,"Colvin, Jesse",D,MD01,H8MD01193
N00041476,"Combs, Gwendolynn Millen",D,AR02,H8AR02142
N00042475,"Comegys, Scott",D,NY24,H8NY24108
N00038260,"Comer, James",R,KY01,H6KY01110
N00042298,"Comer, Natasha Venita",D,VA07,H8VA07110
N00036023,"Comstock, Barbara",R,VA10,H4VA10089
N00026041,"Conaway, Mike",R,TX11,H4TX19136
N00040756,"Connelly, Chad",R,SC05,H8SC05141
N00041806,"Conner, Phillip",D,LA03,H8LA03045
N00029891,"Connolly, Gerry",D,VA11,H8VA11062
N00042454,"Conyers, John III",D,MI13,H8MI13235
N00004029,"Conyers, John Jr",D,MI13,H6MI01028
N00042518,"Cook, John W",R,TX10,H8TX10169
N00034224,"Cook, Paul",R,CA08,H2CA08164
N00003132,"Cooper, Jim",D,TN05,H2TN05131
N00042103,"Cooper, Jimmy",3,GA08,H8GA08118
N00042506,"Cooper, John",R,TX04,H8TX04188
N00036059,"Cope, Ken",R,TX06,H8TX06282
N00041474,"Copley, Bo",R,WVS1,S8WV00135
N00041891,"Coppola, Sergio",D,VA06,H8VA06088
N00041859,"Corbin-Johnson, Shavonnia",D,PA04,H8PA04108
N00035056,"Corey, Matthew",R,CTS1,S8CT00121
N00027441,"Corker, Bob",R,TNS1,S6TN00216
N00042503,"Corlew, Bob",R,TN06,H8TN06102
N00037260,"Correa, Lou",D,CA46,H6CA46116
N00042074,"Cortes Barragan, Rodolfo",3,CA40,H8CA40206
N00026341,"Costa, Jim",D,CA16,H4CA20082
N00031064,"Costello, Ryan",R,PA06,H0PA06076
N00041220,"Cottam, Bringham Rhead",R,UT03,H8UT03220
N00024842,"Courtney, Joe",D,CT02,H2CT02112
N00041634,"Cox, Steve",I,CA39,H8CA39190
N00028122,"Cox, T J",D,CA10,H8CA10167
N00041040,"Craddock, Jay",D,NVS1,S8NV00131
N00037039,"Craig, Angie",D,MN02,H6MN02131
N00039711,"Craig, Ray",R,SC05,H6SC05152
N00004614,"Cramer, Kevin",R,ND01,H0ND01026
N00030990,"Cramer, Tom",D,WA08,H8WA08122
N00039419,"Crary, Jim",D,OR02,H6OR02181
N00035619,"Crawford, Dennis",D,NE01,H4NE01163
N00030770,"Crawford, Rick",R,AR01,H0AR01083
N00042224,"Crenshaw, Dan",R,TX02,H8TX02166
N00041659,"Crider, Mike",R,IN06,H8IN06095
N00025648,"Crim, Larry R",R,TNS1,S2TN00223
N00002942,"Crist, Charlie",D,FL13,H6FL13205
N00040674,"Cristiani, Calen",D,FL16,H8FL16048
N00041530,"Crossey, Michael J",D,PA18,H8PA18173
N00040876,"Crow, Jason",D,CO06,H8CO06229
N00040982,"Crowe, Derrick",D,TX21,H8TX21158
N00042407,"Crowley, John",D,FL14,H8FL14191
N00001127,"Crowley, Joseph",D,NY14,H8NY07046
N00042343,"Crutcher, Chanda Mills",I,ALS1,S8AL00506
N00042557,"Cruz, Erin",R,CAS2,S8CA00440
N00033085,"Cruz, Ted",R,TXS2,S2TX00312
N00024978,"Cuellar, Henry",D,TX28,H2TX23082
N00009738,"Culberson, John",R,TX07,H0TX07055
N00038790,"Culler, Anthony",R,TX01,H6TX01253
N00041416,"Cullop, Ben",D,VA05,H8VA05148
N00001971,"Cummings, Elijah E",D,MD07,H6MD07160
N00041400,"Cunningham, Joe",D,SC01,H8SC01116
N00042165,"Cunningham, William",D,NJ02,H8NJ02174
N00035403,"Curbelo, Carlos",R,FL26,H4FL26038
N00041221,"Curtis, John",R,UT03,H8UT03238
N00041348,"Curtis, Tod",D,IN09,H8IN09099
N00041647,"D'Alessandro, Pete",D,IA03,H8IA03173
N00041364,"Dacey, Scott",R,NC03,H8NC03076
N00041653,"Dady, Sara",D,IL16,H8IL16120
